SubID,FOC,SOC,Decoding_low,Decoding_high,idx
906,0.916666666666667,1,NaN,0.52877967869458,2
907,0.0833333333333333,0.333333333333333,0.646001243882853,NaN,1
908,0.166666666666667,0,0.605632648519848,NaN,1
909,0.0833333333333333,1,NaN,0.622990811324638,2
910,0.0833333333333333,0.833333333333333,NaN,0.726917218740868,2
911,1,0.0833333333333333,0.495333800173324,NaN,1
912,1,0,0.474898606214834,NaN,1
913,1,1,NaN,0.525587065388327,2
915,0,1,NaN,0.526113999440618,2
916,0.833333333333333,1,NaN,0.504807150072378,2
917,1,0.916666666666667,NaN,0.576067152716543,2
918,1,0,0.493414014739835,NaN,1
919,0.833333333333333,0,0.600439429121173,NaN,1
920,0.0833333333333333,1,NaN,0.534898758582447,2
921,0.75,1,NaN,0.541928139393744,2
922,0.333333333333333,0.75,NaN,0.547724316301553,2
923,1,0.916666666666667,NaN,0.565170003344183,2
924,0.916666666666667,0.909090909090909,NaN,0.49686531657758,2
927,0.25,0.833333333333333,NaN,0.665205949026605,2
928,0.833333333333333,0,0.505544309382853,NaN,1
929,0.833333333333333,0,0.606235856757216,NaN,1
930,0.166666666666667,0.25,0.3959270072696,NaN,1
931,0,0.166666666666667,0.611432894740416,NaN,1
932,0.833333333333333,0.916666666666667,NaN,0.522553828585407,2
933,1,1,NaN,0.649675060387539,2
934,0,0.916666666666667,NaN,0.521291453715252,2
935,0.727272727272727,0.0833333333333333,0.493336868188951,NaN,1
936,0.5,0.166666666666667,0.655091967109753,NaN,1
937,0.916666666666667,0.916666666666667,NaN,0.490745964419583,2
