SubID,CS,choices,total_choices,ofc_acc,bias
109,1,9,10,NaN,NaN
109,2,10,10,NaN,NaN
109,3,0,14,NaN,NaN
109,4,12,14,NaN,NaN
110,1,8,10,NaN,NaN
110,2,10,10,NaN,NaN
110,3,13,14,NaN,NaN
110,4,0,14,NaN,NaN
111,1,9,10,NaN,NaN
111,2,0,10,NaN,NaN
111,3,13,14,NaN,NaN
111,4,0,14,NaN,NaN
112,1,8,10,NaN,NaN
112,2,9,10,NaN,NaN
112,3,0,14,NaN,NaN
112,4,6,14,NaN,NaN
113,1,10,10,NaN,NaN
113,2,0,10,NaN,NaN
113,3,0,14,NaN,NaN
113,4,11,14,NaN,NaN
114,1,0,10,NaN,NaN
114,2,2,10,NaN,NaN
114,3,14,14,NaN,NaN
114,4,14,14,NaN,NaN
115,1,4,10,NaN,NaN
115,2,9,10,NaN,NaN
115,3,0,14,NaN,NaN
115,4,0,14,NaN,NaN
116,1,10,10,NaN,NaN
116,2,9,10,NaN,NaN
116,3,5,14,NaN,NaN
116,4,10,14,NaN,NaN
117,1,10,10,NaN,NaN
117,2,10,10,NaN,NaN
117,3,14,14,NaN,NaN
117,4,14,14,NaN,NaN
118,1,5,10,NaN,NaN
118,2,7,10,NaN,NaN
118,3,4,14,NaN,NaN
118,4,4,14,NaN,NaN
119,1,10,10,NaN,NaN
119,2,10,10,NaN,NaN
119,3,6,14,NaN,NaN
119,4,1,14,NaN,NaN
120,1,9,10,NaN,NaN
120,2,9,10,NaN,NaN
120,3,14,14,NaN,NaN
120,4,1,14,NaN,NaN
121,1,10,10,NaN,NaN
121,2,10,10,NaN,NaN
121,3,2,14,NaN,NaN
121,4,13,14,NaN,NaN
122,1,8,10,NaN,NaN
122,2,1,10,NaN,NaN
122,3,2,14,NaN,NaN
122,4,6,14,NaN,NaN
123,1,8,10,NaN,NaN
123,2,0,10,NaN,NaN
123,3,6,14,NaN,NaN
123,4,10,14,NaN,NaN
124,1,2,10,NaN,NaN
124,2,9,10,NaN,NaN
124,3,3,14,NaN,NaN
124,4,14,14,NaN,NaN
125,1,10,10,NaN,NaN
125,2,9,10,NaN,NaN
125,3,8,14,NaN,NaN
125,4,12,14,NaN,NaN
126,1,2,10,NaN,NaN
126,2,10,10,NaN,NaN
126,3,10,14,NaN,NaN
126,4,6,14,NaN,NaN
127,1,10,10,NaN,NaN
127,2,9,10,NaN,NaN
127,3,7,14,NaN,NaN
127,4,1,14,NaN,NaN
128,1,1,10,NaN,NaN
128,2,1,10,NaN,NaN
128,3,8,13,NaN,NaN
128,4,8,14,NaN,NaN
906,1,11,12,0.52877967869458,1
906,2,12,12,0.52877967869458,1
906,3,0,12,0.52877967869458,1
906,4,2,12,0.52877967869458,1
907,1,1,12,0.646001243882853,0
907,2,4,12,0.646001243882853,0
907,3,12,12,0.646001243882853,0
907,4,11,12,0.646001243882853,0
908,1,2,12,0.605632648519848,0
908,2,0,12,0.605632648519848,0
908,3,2,12,0.605632648519848,0
908,4,0,12,0.605632648519848,0
909,1,1,12,0.622990811324638,1
909,2,12,12,0.622990811324638,1
909,3,1,12,0.622990811324638,1
909,4,1,12,0.622990811324638,1
910,1,1,12,0.726917218740868,1
910,2,10,12,0.726917218740868,1
910,3,1,12,0.726917218740868,1
910,4,1,12,0.726917218740868,1
911,1,12,12,0.495333800173324,0
911,2,1,12,0.495333800173324,0
911,3,11,12,0.495333800173324,0
911,4,11,12,0.495333800173324,0
912,1,12,12,0.474898606214834,0
912,2,0,12,0.474898606214834,0
912,3,0,12,0.474898606214834,0
912,4,3,12,0.474898606214834,0
913,1,12,12,0.525587065388327,1
913,2,12,12,0.525587065388327,1
913,3,3,12,0.525587065388327,1
913,4,0,12,0.525587065388327,1
915,1,0,12,0.526113999440618,1
915,2,12,12,0.526113999440618,1
915,3,12,12,0.526113999440618,1
915,4,10,12,0.526113999440618,1
916,1,10,12,0.504807150072378,1
916,2,12,12,0.504807150072378,1
916,3,2,12,0.504807150072378,1
916,4,7,12,0.504807150072378,1
917,1,12,12,0.576067152716543,1
917,2,11,12,0.576067152716543,1
917,3,1,12,0.576067152716543,1
917,4,0,12,0.576067152716543,1
918,1,12,12,0.493414014739835,0
918,2,0,12,0.493414014739835,0
918,3,10,12,0.493414014739835,0
918,4,0,12,0.493414014739835,0
919,1,10,12,0.600439429121173,0
919,2,0,12,0.600439429121173,0
919,3,12,12,0.600439429121173,0
919,4,6,12,0.600439429121173,0
920,1,1,12,0.534898758582447,1
920,2,12,12,0.534898758582447,1
920,3,8,12,0.534898758582447,1
920,4,5,12,0.534898758582447,1
921,1,9,12,0.541928139393744,1
921,2,12,12,0.541928139393744,1
921,3,12,12,0.541928139393744,1
921,4,1,12,0.541928139393744,1
922,1,4,12,0.547724316301553,1
922,2,9,12,0.547724316301553,1
922,3,1,12,0.547724316301553,1
922,4,6,12,0.547724316301553,1
923,1,12,12,0.565170003344183,1
923,2,11,12,0.565170003344183,1
923,3,9,12,0.565170003344183,1
923,4,6,12,0.565170003344183,1
924,1,11,12,0.49686531657758,1
924,2,10,11,0.49686531657758,1
924,3,12,12,0.49686531657758,1
924,4,12,12,0.49686531657758,1
927,1,3,12,0.665205949026605,1
927,2,10,12,0.665205949026605,1
927,3,2,12,0.665205949026605,1
927,4,9,12,0.665205949026605,1
928,1,10,12,0.505544309382853,0
928,2,0,12,0.505544309382853,0
928,3,8,10,0.505544309382853,0
928,4,1,12,0.505544309382853,0
929,1,10,12,0.606235856757216,0
929,2,0,12,0.606235856757216,0
929,3,5,12,0.606235856757216,0
929,4,6,12,0.606235856757216,0
930,1,2,12,0.3959270072696,0
930,2,3,12,0.3959270072696,0
930,3,6,12,0.3959270072696,0
930,4,4,12,0.3959270072696,0
931,1,0,12,0.611432894740416,0
931,2,2,12,0.611432894740416,0
931,3,6,12,0.611432894740416,0
931,4,5,12,0.611432894740416,0
932,1,10,12,0.522553828585407,1
932,2,11,12,0.522553828585407,1
932,3,1,12,0.522553828585407,1
932,4,7,12,0.522553828585407,1
933,1,12,12,0.649675060387539,1
933,2,12,12,0.649675060387539,1
933,3,10,12,0.649675060387539,1
933,4,1,12,0.649675060387539,1
934,1,0,12,0.521291453715252,1
934,2,11,12,0.521291453715252,1
934,3,10,12,0.521291453715252,1
934,4,1,12,0.521291453715252,1
935,1,8,11,0.493336868188951,0
935,2,1,12,0.493336868188951,0
935,3,9,12,0.493336868188951,0
935,4,11,12,0.493336868188951,0
936,1,6,12,0.655091967109753,0
936,2,2,12,0.655091967109753,0
936,3,7,12,0.655091967109753,0
936,4,12,12,0.655091967109753,0
937,1,11,12,0.490745964419583,1
937,2,11,12,0.490745964419583,1
937,3,3,12,0.490745964419583,1
937,4,0,12,0.490745964419583,1
